اسم المنتج,السعر الأصلي (EGP),هل يوجد خصم؟,السعر بعد الخصم (EGP),متاح حالياً؟
Pyramids - White - 26,325.0,False,,False
Roma - White - 26,325.0,False,,False
Chelsea - Black - 26,325.0,False,,False
Argentina T-shirt (Batistuta) - 1998,499.0,False,,False
England Home Shirt - 1998,499.0,False,,True
AC Milan away T-shirt - 2001-2002,500.0,True,399.0,True
Real Madrid T-shirt - Black,500.0,True,399.0,False
Black Liverpool T-shirt,499.0,False,,True
German Cotton T-Shirt - Black,499.0,False,,False
Real Madrid - Black - 2026,450.0,False,,False
Wadi Degla - Yellow - 26,325.0,False,,True
Roma - Home - 2026,325.0,False,,True
Zamalek - Training T-Shirt - Black,320.0,False,,True
Zamalek - Petroleum - 2026,325.0,False,,False
Zamalek - White - 2026,325.0,False,,True
Inter Milan cotton t-shirt,550.0,True,450.0,True
Juventus Cotton T-Shirt,550.0,True,450.0,True
Bayern Munich T-Shirt - White,550.0,True,450.0,True
Milan T-shirt - cotton,550.0,True,450.0,False
Arsenal - Red - 2026,325.0,False,,False
Barcelona Black T-shirt 2025,320.0,False,,False
England Black T-Shirt 2025,320.0,False,,False
Liverpool - White - 2026,325.0,False,,True
Al Hilal - Blue - 2026,299.0,False,,True
Liverpool T-shirt Home 2026,320.0,False,,False
France 2006 World Cup Final Jersey,350.0,False,,False
Germany 98 season home shirt,500.0,False,,False
Barcelona White T-shirt 2025,320.0,False,,False
98 Manchester United Home Shirt,350.0,True,299.0,False
Germany – 2006 World Cup Kit,350.0,True,299.0,False
Arsenal - White - 2026,325.0,False,,True
Real Madrid Home Shirt - 1998,375.0,False,,False
Manchester United - Red - 2026,350.0,False,,False
Real Madrid - White - 2026,325.0,False,,False
Brazilian Corinthians T-shirt 2026,320.0,False,,False
Paris Saint-Germain - Pink - 26,325.0,False,,True
Manchester City - Black - 2026,350.0,False,,False
Tottenham home T-shirt - 2026,320.0,False,,False
"Beckham's England No. 7 shirt, 2002 season",450.0,False,,False
France Away T-shirt - 2000,499.0,False,,False
Benfica Away Shirt - 1998,499.0,False,,False
France 1998 World Cup Blue Shirt,350.0,False,,False
Al-Ahly Home T-shirt (World Cup) 2008,320.0,False,,False
Argentina 2010 World Cup T-shirt - Messi 19,320.0,False,,False
Barcelona's 2014/15 away shirt,350.0,True,190.0,False
Argentina T-shirt - cotton,550.0,True,450.0,False
Barcelona third jersey 2013/14 season,350.0,True,190.0,False
Zamalek Home Shirt - 2025,350.0,True,280.0,False
Real Madrid Classic 1999 season shirt,280.0,False,,False
"Germany T-shirt, season 98 - Black",500.0,False,,False
France 1998 World Cup White Shirt,350.0,True,350.0,False
Arsenal London 2021 Home Shirt/Jersey,350.0,True,280.0,False
Bayern Munich dark red cotton T-shirt,550.0,True,450.0,False
Manchester City T-shirt - Black,500.0,False,,False
Real Madrid 2006\07 Away Shirt,350.0,True,299.0,False
Manchester City green T-shirt,500.0,False,,False
Brazil 2002 Home Short Sleeve Football Shirt,300.0,True,250.0,False
Manchester City T-Shirt | Omar Marmoush for the 2024/2025 season,350.0,True,250.0,False
Inter Miami Home Third 2025 Season,499.0,False,,False
Bayern Munich Third Shirt 2024/25,300.0,True,190.0,False
Inter Miami T-Shirt - Black,499.0,False,,False
Inter Miami T-shirt - white,500.0,False,,False
Spain Classic T-Shirt - House of Errors,699.0,False,,False
Lazio 98 season T-shirt - black,320.0,False,,False
Inter Milan Home Shirt 2010,320.0,True,250.0,False
Marseille T-shirt 1998/99 season - Classic,450.0,False,,False
Lazio Italian Classic T-Shirt - Black,450.0,False,,False
Lazio Italian Classic T-Shirt - Blue,450.0,False,,False
Inter Miami training jacket 2024/2025,350.0,False,,False
Barcelona training jacket for the 2024/2025 - ArenaKit,350.0,False,,False
Original Adidas Real Madrid sports jacket - gray | Adidas 90,700.0,True,650.0,False
Original Adidas Germany sports jacket - black | Adidas 90,700.0,False,,False
Egyptian Al-Ahly jacket 2024/2025,500.0,True,450.0,False
"England 1998 World Cup Home Jersey, Beckham",450.0,False,,False
Manchester United training jacket 2024\2025 - ArenaKit,350.0,False,,False
